"$D_{start}$, мкм",10,,"$D_1$, мм","$D$, мкм",,"$X$, мм",$m$,"$D $, мкм",,№,"$X $, мм",$m $,,№ ,"$X   $, мм",$m. $,,№  ,"$Y$, мм",$K$
"$b_1$, см",119.9,,1,50,,113,9,100,,1,218,3,,1,295,1,,1,222,4
"$a_1$, см",5,,3,100,,168,24,150,,2,267,5,,2,196,1,,2,260,7
"$L$, см",124.9,,4,150,,216,48,200,,3,241,10,,3,295,3,,3,205,11
"$F_1$, мм",38,,5,200,,208,59,250,,4,177,15,,4,355,7,,4,178,20
"$L$, см",135.9,,6,250,,208,73,300,,5,92,10,,5,355,10,,5,162,25
"$F_2$, мм",110,,7,300,,207,84,350,,,,,,,,,,,,
"$F_3$, мм",25,,8,350,,98,48,400,,,,,,,,,,,,
"$a_2$, см",13.5,,9,400,,74,40,450,,,,,,,,,,,,
"$b_2$, см",113.9,,11,450,,74,44,500,,,,,,,,,,,,
,,,12,500,,74,52,550,,,,,,,,,,,,